"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"41437","433","Sickle","","British Museum,WG 962","Germany,Hiensnick,Remelsheimerwald, tumulus","Hunsrück, 55471 Külz, Germany","7.5","50","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19328788446","https://farm1.staticflickr.com/507/19328788446_de2994e85f_m.jpg","superuser","ForeignSickles"
"41438","433","Sickle","","British Museum,WGS 963","Germany,Hunsruck,Remelsheimerwald, tumulus","Hunsrück, 55471 Külz, Germany","7.5","50","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19354891665","https://farm4.staticflickr.com/3736/19354891665_25dae67337_m.jpg","only good record","ForeignSickles"
"41439","433","Sickle","","British Museum,1876.1214.8","Hungary","Hungary","19.5033","47.1625","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19168730209","https://farm1.staticflickr.com/412/19168730209_6cf1b4ef90_m.jpg","only good record","ForeignSickles"
"41440","433","Sickle","","British Museum,1876.1012.4","Hungary","Hungary","19.5033","47.1625","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167304668","https://farm1.staticflickr.com/463/19167304668_f1f2666a7b_m.jpg","superuser","ForeignSickles"
"41441","433","Sickle","","British Museum,1876.1214.8","Hungary","Hungary","19.5033","47.1625","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167304588","https://farm1.staticflickr.com/475/19167304588_75cb00f380_m.jpg","superuser","ForeignSickles"
"41442","433","Sickle","","British Museum,1876.1011.8","?Hungary","Hungary","19.5033","47.1625","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19358905661","https://farm1.staticflickr.com/376/19358905661_f9091af223_m.jpg","superuser","ForeignSickles"
"41443","433","Sickle","","British Museum,WG 951","Hungary,Szakal","Hungary","19.5033","47.1625","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167264690","https://farm1.staticflickr.com/502/19167264690_354d509192_m.jpg","only good record","ForeignSickles"
"41444","433","Sickle","","British Museum,WG 947","Hungary,Steinamanger,Vas,Szombathely","Szombathely, Hungary","16.6218","47.2307","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18732367994","https://farm1.staticflickr.com/539/18732367994_aa4bde74dd_m.jpg","only good record","ForeignSickles"
"41445","433","Sickle","","British Museum,WG 948","Hungary","Hungary","19.5033","47.1625","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18732367884","https://farm1.staticflickr.com/392/18732367884_374c7c4547_m.jpg","superuser","ForeignSickles"
"41446","433","Sickle","","British Museum,WG 949","Hungary,Dunapenfele","Dunaújváros, Hungary","18.9355","46.9619","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19168729659","https://farm1.staticflickr.com/392/19168729659_0610d2d022_m.jpg","superuser","ForeignSickles"
"41447","433","Sickle","","British Museum,WG 952","Hungary","Hungary","19.5033","47.1625","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18734260563","https://farm1.staticflickr.com/279/18734260563_46e3441636_m.jpg","superuser","ForeignSickles"
"41448","433","Sickle","","British Museum,WG 946","Hungary,Steinamanger","Szombathely, Hungary","16.6218","47.2307","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167264240","https://farm1.staticflickr.com/308/19167264240_2322a56040_m.jpg","superuser","ForeignSickles"
"41449","433","Sickle","","British Museum,WG 953","Poland,Wrocklaw,""Near Breslan 1872""","Wrocław, Poland","17.0385","51.1079","","None","None","1872","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19328787436","https://farm1.staticflickr.com/530/19328787436_0b9f1c379c_m.jpg","superuser","ForeignSickles"
