"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"40552","433","Bangle","","Vize Collection, 2888,Sotheby's No. 140/6","Italy,Tuscany,Chiusi","53043 Chiusi SI, Italy","11.9448","43.0155","","None","None","None","100","95","","411.05","No patina","Roughish. Light green with slight earth like encrustment nearly all over + patches of bright green.","Thickness of 2 coils 32","","","","Outside surfaces only are decorated.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18606945385","https://farm9.staticflickr.com/8837/18606945385_41650698b9_m.jpg","superuser","ForeignJewelery"
"40553","433","Bangle","","Canterbury Museum,Copeland Collection,2081","Italy","Italy","12.5674","41.8719","","None","None","None","73","73","","67","Olive green polished patina.","Smooth","8 x 7","","","","Well preserved.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18602385082","https://farm1.staticflickr.com/358/18602385082_c7ce5e0fc1_m.jpg","superuser","ForeignJewelery"
"40554","433","Bangle","","Canterbury Museum,Copeland Collection,2082","Italy","Italy","12.5674","41.8719","","None","None","None","75","59","","207","Polished emerald + light green patina.","Smooth","11","","","","The diagonal lines run right across the surface at indented part only.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18419143948","https://farm9.staticflickr.com/8828/18419143948_a30e926d21_m.jpg","superuser","ForeignJewelery"
"40555","433","Fibula","","Royal Scottish Museum, Edinburgh,Reg. No.: 1887.246","Italy","Italy","12.5674","41.8719","","None","None","None","165","(centre) 12","","62","Light green patina.","In fair condition.","","","","","Fibula, bronze, ""fidale-bow"" type, with applied spiral and ?bird.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18609017681","https://farm1.staticflickr.com/419/18609017681_72cf12c4ed_m.jpg","superuser","ForeignJewelery"
"40556","433","Fibula","","Royal Scottish Museum, Edinburgh,Reg. No.: 1887.245","Italy","Italy","12.5674","41.8719","","None","None","None","109","66","","47","Light green patina in places.","In fair condition.","","","","","Fibula, bronze: semicircular bow, simple catch, and unilateral spring.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18580459746","https://farm1.staticflickr.com/426/18580459746_5036c5d39a_m.jpg","superuser","ForeignJewelery"
"40557","433","Fibula","","Royal Scottish Museum, Edinburgh,Reg. No. 1907.244","Italy","Italy","12.5674","41.8719","","None","None","None","153","77","","165","Green patina","In good condition","","","","","Fibula, compound bow and head with numerous discoid mouldings, large flat spiral plate beyond pin-catch; dotted bird figures on plate.","","Pin restored.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17986175933","https://farm1.staticflickr.com/384/17986175933_b45e6bf1a4_m.jpg","superuser","ForeignJewelery"
"40558","433","Armlet","","Pitt Rivers Museum, Farnham","Switzerland,Neuchatel,Auvernier","Auvernier, Switzerland","6.8786","46.975","","None","None","None","","74 x 58","","56.7","Brown","Smooth","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17984131744","https://farm1.staticflickr.com/494/17984131744_4eed38981d_m.jpg","superuser","ForeignJewelery"
"40559","433","Amulet","","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,Late of Roebuck Hall, Co. Dublin,Sold by auction at Sotheby's, 9.11.21, Lot 115","Switzerland,Swiss Lake Dwellings,Onnens,?Concise","Onnens, Switzerland","6.6864","46.8396","","None","None","None","50","65, 33","","","No patina.","Smooth. Dull dark bronze colour with grey-green stains.","2.5 to 4","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18602224202","https://farm1.staticflickr.com/501/18602224202_e83a9a9418_m.jpg","superuser","ForeignJewelery"
"40560","433","Bracelet","","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,late of Roebuck Hall, Co. Dublin,Sold by Auction at Sotheby's 9.11.21, Lot 115","Switzerland,Swiss Lake Dwellings,Onnens,?Concise","Onnens, Switzerland","6.6864","46.8396","","None","None","None","58","43.5","","","No patina.","Smooth. Dark golden bronze colour. Tiny pittings on inside.","6 x 4","","","","Decorated with incised lines + groups of drilled holes.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18602199442","https://farm9.staticflickr.com/8862/18602199442_46b051cb49_m.jpg","superuser","ForeignJewelery"
"40561","433","Bangle","","Private Collection,F. Ransom, Esq., Hitchin","Switzerland,Concise??,1889","Concise, Switzerland","6.7186","46.8519","","None","None","1889","68","59","","30.12","Very slight dark  green (dull)","Rough  + heavily pocked + pitted.","22 end 25.5","","","","Decorated nearly all over. Much cracked + in two pieces. Looks as if cleaned with acid.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17984059294","https://farm1.staticflickr.com/452/17984059294_be98ef1100_m.jpg","superuser","ForeignJewelery"
"40562","433","Bracelet","","Private Collection,F. Ransom Esq., Hitchin","Switzerland,E. Concise,E. Concise","Concise, Switzerland","6.7186","46.8519","","None","None","None","84","63, 25.5, 29.5, 26.5","","69.2","No patina whatever. It is a very coppery colour nearly all over + all metal showing.","Slightly rough. Through tiny pocks. This appears to have been treated with acid.","2.5","","","","Decoration is very faint.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18602150732","https://farm1.staticflickr.com/443/18602150732_9672fc8d8c_m.jpg","superuser","ForeignJewelery"
"40563","433","Arm Band","","Private Collection,A. B. Cook Esq. M.A.,Curator of Fitzwilliam Museum of Classical Archaeology, Cambridge + Reader in Classical Archaeology: at his residence: 19 Cramer Road","Switzerland?,Lac Neuchatel?,Station Les Corcolettes","Neuchâtel, Switzerland","6.9319","46.993","","None","None","None","90","76","","94","Fine patina of bright green with patches of red brown.","","10, 4, 13","","","","Very doubtful if of Bronze Age.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18580273156","https://farm1.staticflickr.com/388/18580273156_9623056b51_m.jpg","superuser","ForeignJewelery"
"40564","433","Spiral Bronze Armlet","","Horniman Museum,Forest Hill, SE","Switzerland,Swiss Lake Dwellings","Switzerland","8.2275","46.8182","","None","None","None","Diameter 67.5","30","","56.7","Emerald green patina","Mostly smooth, slightly corroded.","5 x 3","","Bronze","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18418882028","https://farm1.staticflickr.com/460/18418882028_6befd225c9_m.jpg","superuser","ForeignJewelery"
"40565","433","Bracelet","","ex R. W. Kennard,Sotheby's Sale, 25-6.iii.30, Lot 54","Switzerland?,Lake Dwellings?,(Catalogued as ""Probably from France."")","Switzerland","8.2275","46.8182","","None","None","None","","","","","","","","","","","On back incised lines, chevron-wise with blank band dividing along centre of ridge, interspersed with double concentric circles.","Sotheby's Catalogue, 25.iii.30, p. 8.","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17985960913","https://farm1.staticflickr.com/402/17985960913_3395b56701_m.jpg","superuser","ForeignJewelery"
"40566","433","Ring","","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA late of Roebuck Hall, Co. Dublin,Sold by Auction at Sotheby's 9.11.21, Lot 115","Switzerland,Swiss Lake Dwellings,Onnens,?Concise","Onnens, Switzerland","6.6864","46.8396","","None","None","None","","Diameters 18 x 15.5; side 10.5","","","No patina.","Smooth. Dark brown bronze colour.","1","","","","Decorated with drilled surface holes.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18580196916","https://farm1.staticflickr.com/533/18580196916_ba2bbced0e_m.jpg","superuser","ForeignJewelery"
"40567","433","Ring","","Horniman Museum,Forest Hill SE,Bought from the Backhouse Collection","Switzerland,Swiss Lake Dwellings","Switzerland","8.2275","46.8182","","None","None","None","","Diameters 32 + 33","","","No patina.","Dark brown smooth. A good deal of golden bronze visible.","1","","Bronze","","Round like wire.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18602022272","https://farm1.staticflickr.com/318/18602022272_d11a096258_m.jpg","superuser","ForeignJewelery"
"40568","433","Ring","","Horniman Museum,Forest Hill SE,Bought from the Backhouse Collection","Switzerland,Swiss Lake Dwellings","Switzerland","8.2275","46.8182","","None","None","None","","Diameters 28 + 29","","","No patina.","Smooth, of bright golden colour.","3","","Bronze","","Round like wire","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18606528455","https://farm9.staticflickr.com/8861/18606528455_517e7df6fe_m.jpg","superuser","ForeignJewelery"
"40569","433","Ring","","Horniman Museum,Forest Hill, SE,Bought from the Backhouse Collection","Switzerland,Swiss Lake Dwellings","Switzerland","8.2275","46.8182","","None","None","None","","Diameters 28 + 26","","","No patina.","Smooth. Bright golden in colour.","2 1/2 thickest part","","Bronze","","Round like wire.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18601971062","https://farm1.staticflickr.com/533/18601971062_655347d75c_m.jpg","superuser","ForeignJewelery"
"40570","433","Ring","","Horniman Museum,Forest Hill, SE,Bought from the Backhouse Collection","Switzerland,Swiss Lake Dwellings","Switzerland","8.2275","46.8182","","None","None","None","","Diameters 23.5 + 24","","","No patina.","Smooth, mostly golden bronze.","2.5","","Bronze","","Round like wire.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17983825534","https://farm1.staticflickr.com/426/17983825534_1d82fb8efd_m.jpg","superuser","ForeignJewelery"
"40571","433","Ring","","Horniman Museum,Forest Hill, SE,Bought from the Backhouse Collection","Switzerland,Swiss Lake Dwellings","Switzerland","8.2275","46.8182","","None","None","None","","Diameters 52 + 54","","","Dark green patina","Smooth","1.5 to 2","","Bronze","","Round like wire","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18580072576","https://farm9.staticflickr.com/8854/18580072576_f5c0530294_m.jpg","superuser","ForeignJewelery"
