"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"59157","580","Sword Hilt","","","Gorleston on Sea,Norfolk","Gorleston-on-Sea, Great Yarmouth, Gorleston-on-Sea, Great Yarmouth, Norfolk NR31, Royaume-Uni","1.7275","52.5783","","None","None","None","","","","","","","","","","","Sword hilt fragment.","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24440443424","https://farm2.staticflickr.com/1566/24440443424_f06c4cfef8_m.jpg","superuser","BitsandBobsPt2"
"59158","580","Socketed Spearhead Frag.","","","Gorleston on Sea,Norfolk","Gorleston-on-Sea, Great Yarmouth, Gorleston-on-Sea, Great Yarmouth, Norfolk NR31, Royaume-Uni","1.7275","52.5783","","None","None","None","","","","","","","","","","","Socket & partial blade fragment.","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25071097975","https://farm2.staticflickr.com/1671/25071097975_71cf140534_m.jpg","superuser","BitsandBobsPt2"
"59159","580","Socketed Axe","","","Gorleston on Sea,Norfolk","Gorleston-on-Sea, Great Yarmouth, Gorleston-on-Sea, Great Yarmouth, Norfolk NR31, Royaume-Uni","1.7275","52.5783","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24444226063","https://farm2.staticflickr.com/1475/24444226063_551452877f_m.jpg","superuser","BitsandBobsPt2"
"59160","580","Socketed Axe Frag.","","","Snettisham Hoard,Norfolk","Snettisham, King's Lynn, Norfolk PE31, Royaume-Uni","0.5029","52.8787","","None","None","None","","","","","","","","","","","Socket & body fragment.","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25044753806","https://farm2.staticflickr.com/1519/25044753806_e8a02e2c41_m.jpg","superuser","BitsandBobsPt2"
"59161","580","Spiral Sword Pommel","","","Snettisham Hoard,Norfolk","Snettisham, King's Lynn, Norfolk PE31, Royaume-Uni","0.5029","52.8787","","None","None","None","","","","","","","","","","","Neil Wilkin (03/02/2016) - Spiral pommeled sword grip with strong continental affinities.","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24977782221","https://farm2.staticflickr.com/1583/24977782221_905700de5c_m.jpg","superuser","BitsandBobsPt2"
"59162","580","Socketed Blade Tip","","","Snettisham Hoard,Norfolk","Snettisham, King's Lynn, Norfolk PE31, Royaume-Uni","0.5029","52.8787","","None","None","None","","","","","","","","","","","Blade tip fragment.","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24977782101","https://farm2.staticflickr.com/1486/24977782101_bfda8cd2e0_m.jpg","superuser","BitsandBobsPt2"
"59163","580","Socketed Blade Tips","","","Snettisham Hoard,Norfolk","Snettisham, King's Lynn, Norfolk PE31, Royaume-Uni","0.5029","52.8787","","None","None","None","","","","","","","","","","","Blade tip fragments.","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24775488220","https://farm2.staticflickr.com/1530/24775488220_ab0867d320_m.jpg","superuser","BitsandBobsPt2"
"59164","580","Socketed Blade Tip","","","Snettisham Hoard,Norfolk","Snettisham, King's Lynn, Norfolk PE31, Royaume-Uni","0.5029","52.8787","","None","None","None","","","","","","","","","","","Blade tip fragment.","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24440442284","https://farm2.staticflickr.com/1655/24440442284_f74c8075dc_m.jpg","superuser","BitsandBobsPt2"
"59165","580","Socketed Axe Frag.","","","Snettisham Hoard,Norfolk","Snettisham, King's Lynn, Norfolk PE31, Royaume-Uni","0.5029","52.8787","","None","None","None","","","","","","","","","","","Socket & body fragment only.","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24703452599","https://farm2.staticflickr.com/1559/24703452599_a1b5cf6d59_m.jpg","superuser","BitsandBobsPt2"
"59166","580","Socket Frag.","","","Snettisham Hoard,Norfolk","Snettisham, King's Lynn, Norfolk PE31, Royaume-Uni","0.5029","52.8787","","None","None","None","","","","","","","","","","","Spearhead or chisel socket fragment? Sickle Frag.?","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24444224933","https://farm2.staticflickr.com/1464/24444224933_b0ef53e4c1_m.jpg","superuser","BitsandBobsPt2"
