"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"34230","677","Crotal","","B.M. Collection 1854.0714.10, , y see catalogue entry, , Purchased from T.L. Cooke","Ireland, County Offaly, Dowris, Dowris Hoard, Found in a bag during the 1820s.","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","Offaly, Co. Offaly, Ireland","None","None","None","","","","","","","","Sometimes the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","Copper Alloy","Dowris Hoard","Bronze Crotal: hollow cast spherical pendant, cast ring for suspension","See BM catalogue","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/16615774478","https://farm9.staticflickr.com/8590/16615774478_de68be8ef8_m.jpg"
"34231","433","Crotal","","British Museum Collection, 1854.0714.14,See catalogue entry.,Purchased from T. L. Cooke","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog in the 1820s","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Copper Alloy Crotal, incomplete","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16615774308","https://farm8.staticflickr.com/7615/16615774308_eaf25dea5b_m.jpg"
"34231","580","Crotal","","B.M. Collection 1854. 0714. 11, see catalogue entry, Purchased from T.L. Cooke","Ireland, County Offaly, Dowris, Dowris Hoard, Found in a bag during the 1820s.","Doorosheath, Co. Offaly, Irlande","-7.841282099999944","53.1520072","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard","Copper Alloy Crotal, incomplete","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16615774308","https://farm8.staticflickr.com/7615/16615774308_eaf25dea5b_m.jpg"
"34231","677","Crotal","","B.M. Collection 1854.0714.14, , y see catalogue entry, , Purchased from T.L. Coohe","Ireland, County Offaly, Dowris, Dowris Hoard, Found in a bag in the 1820s","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","Offaly, Co. Offaly, Ireland","None","None","None","","","","","","","","Sometimes the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","Copper Alloy","Dowris Hoard","Copper Alloy Crotal, incomplete","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/16615774308","https://farm8.staticflickr.com/7615/16615774308_eaf25dea5b_m.jpg"
"34232","433","Crotal","","British Museum collection,See catalogue entries.","Ireland,County Offaly,Dowris?,Dowris Hoard?","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper alloy","Dowris Hoard?","","","Grouped with other index cards from Dowris Hoard, assumed to be one of the crotals in the British Museum's Collection...","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16181008494","https://farm8.staticflickr.com/7288/16181008494_f59f4173d9_m.jpg"
"34232","580","Crotal","","B.M. Collection, see catalogue entries","Ireland, County Offaly, Dowris?, Dowris?, Hoard","Co. Offaly, Irlande","-7.633362499999976","53.25451899999999","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard?","","","Grouped with other Index Cards from Dowris Hoard, assumed to be one of the Crotals in the B.M.'s collection.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16181008494","https://farm8.staticflickr.com/7288/16181008494_f59f4173d9_m.jpg"
"34232","896","Crotal","","BM Collection - see catalogue entries","? Dowris Hoard","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","Ireland County Offaly","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard?","","","Grouped with other Index cards from Dowris Hoard, assumed to been of the Crotals in the BM's collection","Deborah Jackson","https://www.flickr.com/photos/115096994@N02/16181008494","https://farm8.staticflickr.com/7288/16181008494_f59f4173d9_m.jpg"
"34233","433","Crotal","","British Museum Collections,See Catalogue entries","Ireland,County Offaly,Dowris?,Dowris Hoard?","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard?","","","Grouped with other index cards from Dowris Hoard, assumed to be one of crotals in the British Museum's Collection.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16617221869","https://farm8.staticflickr.com/7618/16617221869_1f6c35bd17_m.jpg"
"34233","580","Crotal","","B.M. Collections,see catalogue entries","Ireland, County Offaly, Dowris?, Dowris Hoard?","Comté d'Offaly, Co. Offaly, Irlande","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard?","","","Grouped with other Index Cards from Dowris Hoard, assumed to be one of Crotals in the B.M.'s collection.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16617221869","https://farm8.staticflickr.com/7618/16617221869_1f6c35bd17_m.jpg"
"34233","896","Crotal","","B.M. Collection - see catalogue entries","? Dowris Hoard","Co Offaly Ireland","-7.712222900000029","53.2356871","County Offaly","None","None","None","","","","","","","","","Copper Alloy","? Dowris Hoard","","","Grouped with other Index cards from the Dowris Hoard, assumed to be one of Crotal's in B/M.'s collection","Deborah Jackson","https://www.flickr.com/photos/115096994@N02/16617221869","https://farm8.staticflickr.com/7618/16617221869_1f6c35bd17_m.jpg"
