"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"39063","580","Sword (hilt and two pieces of blade)","","Hull Museum No. 87.","(unknown)","",,,"","None","None","None","blade 163","pommel 42.5,hilt 43,blade 31.5; 26","","hilt 130,blade 55; 39","green.","","blade 7.5; 6.5","","","","The hilt is beautifully ornamented with spirals and lines. The butt is also ornamented and a peg projects from it. The hilt is in fine condition, but the two pieces of the blade are much chipped. There is a piece missing near the hilt. The blade has a strong rib. The blade has been made separately from the hilt, and slipped into a groove, where it is secured with four rivets.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17936615331","https://farm9.staticflickr.com/8891/17936615331_461d61363d_m.jpg"
"39063","817","Sword. (hilt and two pieces of blade)","","Hull Museum,No.87.","(unknown)","",,,"","None","None","None","163","31.5","","130","green.","","7.5","Length shows ""(blade) 163mm"". Width shows ""(Pommel) 42.5mm, (hilt) 43mm; (blade) 31.5mm, 26mm."" thickness shows ""(blade) 7.5mm, 6.5mm."" Weight shows ""hilt, 130gms  blade {35gms 39gms"".","","","The hilt is beautifully ornamented with spirals and lines. The butt is also ornamented and a peg projects from it. The hilt is in fine condition, but the two pieces if the blade are much chipped. There is a piece missing near the hilt. The blade has a strong rib. The blade has been made separately from the hilt, and slipped into a groove, where it is secured with four rivets.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17936615331","https://farm9.staticflickr.com/8891/17936615331_461d61363d_m.jpg"
"39064","433","Sword","","Private Collection,1923,Lord Howard de Walden,Belgrave Square, SW","","","8.227511999999933","46.818188","","None","None","None","397","blade 37; hilt 42, 28.5, 47","","240.97","Thin patina grey green matte. Traces of light soil all over this.","Smooth. Dark + golden bronze shows at point.","blade 4.5, 5","","","","Two rivets A. 14mm long; B. 13.5mm long, + 2 rivet holes. The hilt has a flanged edge all round.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17747603760","https://farm9.staticflickr.com/8814/17747603760_1c7533fe73_m.jpg"
"39064","580","Sword","","Private Collection 1923.,Lord Howard de Walden, Belgrave Square, SW.","","",,,"","None","None","None","397","blade 37,hilt 42; 28.5; 47","","240.97","thin patina grey green matte. traces of light soil all over this.","smooth. Dark & golden bronze shows at point.","blade 4.5; 5","","","","Two rivets: A 14 mm long; B 13.5 long & 2 rivet holes. The hilt has a flanged edge all round.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17747603760","https://farm9.staticflickr.com/8814/17747603760_1c7533fe73_m.jpg"
"39064","817","Sword","","Private,1923,Lord Howard de Walden,Belgrave Square, SW.","","",,,"","None","None","None","397","37","","240.97","thin grey green matte, traces of light soil all over this.","smooth,Dark & golden bronze shows at point.","4.5","Width shows ""blade 37.  hilt 42.  29.5  47."" Thickness shows ""blade 4.5  5"".","","","Two rivets A. 14mm long. B. 13.5mm long. & 2 rivet holes,The hilt has a flanged edge all round.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17747603760","https://farm9.staticflickr.com/8814/17747603760_1c7533fe73_m.jpg"
"39065","433","Leaf Shaped Sword","F","Private Collection,1923,Lord Howard de Walkden,Belgrave Square, SW","Said to have come from Rhodes, but about certainly Hungarian","","8.227511999999933","46.818188","","None","None","None","678","blade 46.5, 28; hilt 56.5, 56","","1048.95","Some thick medium + dark brown. Hilt shows a good deal of golden bronze also along ridge in centre of blade.","Smooth. A few tiny holes at end of blade.","blade 9","","","","Hilt is round + much decorated with incisions. There is a small hole through the flat top. The markings at end of blade do not extend further then shown.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17747603770","https://farm8.staticflickr.com/7703/17747603770_8658d77845_m.jpg"
"39065","580","Leaf shaped Sword","F","Private Collection 1923,Lord Howard de Walden, Belgrave Square, SW.","said to have come from Rhodes but almost certainly Hungaria.","",,,"","None","None","None","678","blade 46.5; 28,hilt 56.5; 56","","1048.95","some thick medium & dark brown. Hilt shows a good deal of golden bronze also along ridge in centre of blade.","smooth. A few tiny holes at end of blade.","blade 9","","","","Hilt is round a much decorated with incisions. There is a small hole through the flat top. The markings at end of blade do not extend further than shown.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17747603770","https://farm8.staticflickr.com/7703/17747603770_8658d77845_m.jpg"
"39065","817","Leaf shaped sword.","F","Private,1923,Lord Howard de Walden,Belgrave Square, SW.","said to have come from [...] but almost certainly [...]","",,,"","None","None","None","678","45.5","","1448.95","some thick medium & dark brown.,Hilt shows a good deal of golden bronze also along ridge in centre of blade.","Smooth.,A few tiny holes at end of blade.","9","Width shows ""blade 46.5  25.0   hilt 36.5, 36."" Thickness shows ""blade 9"".","","","Hilt is round & much decorated with incisions. There is a small hole through the flat tip.,The markings at end of blade do not [...] further than [...].","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17747603770","https://farm8.staticflickr.com/7703/17747603770_8658d77845_m.jpg"
"39066","433","Leaf Shaped Sword","B","Bury St. Edmunds Museum","Locality unknown","","8.227511999999933","46.818188","","None","None","None","617.5","blade 40; hilt 45, 42","","616.61","(blade) patina some shiny green. Hilt, olive green shiny patina.","Smooth, very pocked towards tip.","blade 7; at hilt 61.7, 40.5","","","","Hilt is a separate casting, fasting by 2 rivets, which are flush with surface.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17746813208","https://farm8.staticflickr.com/7703/17746813208_cee54d0ee4_m.jpg"
"39066","580","Leaf shaped Sword","B","Bury St. Edmunds Museum.","locality unknown","",,,"","None","None","None","617.5","blade 40,hilt 45; 42","","616.61","blade, some shiny green. Hilt, olive green shiny patina.","smooth, very pocked towards tip.","blade 7,at hilt 6; 7; 40.5","","","","Hilt is a separate casting fastened by 2 rivets, which are flush with surface.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17746813208","https://farm8.staticflickr.com/7703/17746813208_cee54d0ee4_m.jpg"
