"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"41435","433","Sickle","","British Museum,1916.0605.171","Germany,Saxony,Camenz","Kamenz, Germany","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19168730689","https://farm4.staticflickr.com/3826/19168730689_4b38147aba_m.jpg"
"41435","652","Sickle","","British Museum, , 1916.0605.171","Germany Saxony Camenz","Kamenz, Γερμανία","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19168730689","https://farm4.staticflickr.com/3826/19168730689_4b38147aba_m.jpg"
"41436","226","Sickle","","British Museum, WG964","Germany, Reinhessen, Bodenheim","Bodenheim, Germany","8.312674000000015","49.9292948","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19358906481","https://farm1.staticflickr.com/406/19358906481_cff0fe858f_m.jpg"
"41436","433","Sickle","","British Museum,WG 964","Germany,Rheinhessen,Bodenheim","Bodenheim, Germany","8.312674000000015","49.9292948","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19358906481","https://farm1.staticflickr.com/406/19358906481_cff0fe858f_m.jpg"
"41436","652","Sickle","","British Museum, , WG 964","Germany Rheinhersen Bodenheim","Bodenheim, Γερμανία","8.312674000000015","49.9292948","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19358906481","https://farm1.staticflickr.com/406/19358906481_cff0fe858f_m.jpg"
"41437","226","Sickle","","British Museum, WG.962","Germany, Hunsruck, Remelsheimerwald, [...]","Germany","10.451526000000058","51.165691","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19328788446","https://farm1.staticflickr.com/507/19328788446_de2994e85f_m.jpg"
"41437","433","Sickle","","British Museum,WG 962","Germany,Hiensnick,Remelsheimerwald, tumulus","Hunsrück, 55471 Külz, Germany","7.5","50","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19328788446","https://farm1.staticflickr.com/507/19328788446_de2994e85f_m.jpg"
"41437","652","Sickle","","British  Museum WG 962","Germany, Hunsruck, Remelsheimerwall tumulus","Χούνσρουκ, 55471 Külz, Γερμανία","7.5","50","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19328788446","https://farm1.staticflickr.com/507/19328788446_de2994e85f_m.jpg"
"41438","433","Sickle","","British Museum,WGS 963","Germany,Hunsruck,Remelsheimerwald, tumulus","Hunsrück, 55471 Külz, Germany","7.5","50","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19354891665","https://farm4.staticflickr.com/3736/19354891665_25dae67337_m.jpg"
"41438","652","Sickle","","British Museum, , WGS . 963","Germany, Hunsruck, Remelsheimerwall Eumulus","Χούνσρουκ, 55471 Külz, Γερμανία","7.5","50","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19354891665","https://farm4.staticflickr.com/3736/19354891665_25dae67337_m.jpg"
