"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"40511","433","Rings, fragmentary (one drawn)","","Nationalmuseet, Copenhagen,No. 9780","Denmark?,No provenance listed.","Denmark","56.26392","9.50178500000004","","None","None","None","","largest fragment 25 mm from point to point","","Total about 6.5","","","","","Bronze","","9 corroded fragments of rings made of flattened wire, possibly once of circular section.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18421778359","https://farm9.staticflickr.com/8890/18421778359_06ab18c733_m.jpg"
"40511","658","Rings, fragmentary,(one drawn)","","Nationalmuseet,,, , Copenhagen,, , No. 9780","Denmark?,, No provenance listed.","",,,"","None","None","None","","largest fragment 25 from point to point.","","Total about 6.5","","","","","bronze","","9 corroded fragments of rings made of flattened wire, possibly once of,circular section.","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18421778359","https://farm9.staticflickr.com/8890/18421778359_06ab18c733_m.jpg"
"40511","817","Rings, fragmentary,(one drawn)","","Nationalmuseet,,Copenhagen.,No. B 9780.","Denmark ?,No provenance listed.","Denmark","56.26392","9.50178500000004","","None","None","None","","25","","6.5","","","","Width shows ""largest fragment 25mm from point to point."" Weight shows ""Total about 6.5gr.""","bronze","","9 corroded fragments of rings made of flattened wire, possibly once of circular section.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18421778359","https://farm9.staticflickr.com/8890/18421778359_06ab18c733_m.jpg"
"40512","433","Ring","","Nationalmuseet, Copenhagen,No. A 8105","Denmark,Hindster H.,Vive S.","9560 Vive, Denmark","56.706543","10.038275999999996","","None","None","None","","Greatest diameter 14","","Just under 1 gr.","","","","","","","Twisted bronze wire.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18610075901","https://farm1.staticflickr.com/358/18610075901_99bb8b81f9_m.jpg"
"40512","658","Ring","","Nationalmuseet,,, , Copenhagen,, , No. A 8105","Denmark,, Hindster H.,, Vive S.","",,,"","None","None","None","","Greatest diameter 19","","just under 1","","","","","","","Twisted bronze wire.","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18610075901","https://farm1.staticflickr.com/358/18610075901_99bb8b81f9_m.jpg"
"40512","817","Ring","","Nationalmuseet,,Copenhagen.,No. B 8105.","Denmark,Hindster H.,Vive S/","9560 Vive, Denmark","56.706543","10.038275999999996","","None","None","None","","19","","1","","","","Width shows ""Greatest diameter 14mm."" Weight shows ""just under 1 gr.""","","","Twisted bronze wire.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18610075901","https://farm1.staticflickr.com/358/18610075901_99bb8b81f9_m.jpg"
"40513","433","Wire coil","","Nationalmuseet, Copenhagen,No. B3","Denmark?,No history given","Denmark","56.26392","9.50178500000004","","None","None","None","","Maximum diameter 8mm","","Approx. 1/2 gr","","","","","","","Twisted bronze wire.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17985255014","https://farm9.staticflickr.com/8856/17985255014_452d1fc77d_m.jpg"
"40513","652","Wire Coil","","Nationalmuseet  Copenhagen  No B3","Denmark ? No history given","Δανία","56.26392","9.50178500000004","","None","None","None","","maximum diameter 8","","approx 1/2 gr","","","","","[ r s t e d ] bronge wire","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/17985255014","https://farm9.staticflickr.com/8856/17985255014_452d1fc77d_m.jpg"
"40513","817","Wire Coil","","Nationalmuseet,,Copenhagen.,No. B 3.","Denmark ?,No history given","Denmark","56.26392","9.50178500000004","","None","None","None","","8","","0.5","","","","Width shows ""Maximum diameter 8mm."" Weight shows ""Approx. ½gr.""","","","Twisted bronze wire.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17985255014","https://farm9.staticflickr.com/8856/17985255014_452d1fc77d_m.jpg"
"40514","433","Ring","","Nationalmuseet, Copenhagen,No. B8389","Denmark,Festykke H.,Stenlose S.","3660 Stenløse, Denmark","55.76861599999999","12.198309999999992","","None","None","None","","","","Approx. 3 gr","","","","","","","Diameter of wire 1.3mm, of coil 22.5mm. Twisted bronze wire.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18603346152","https://farm1.staticflickr.com/345/18603346152_728598f43c_m.jpg"
