"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"40145","817","? Tweezers","9.98.","Horniman Museum, Forest Hill SE.,Presented by E.J. Horniman","Egypt,Abydos,Cairo Museum","Abydos, Qesm Al Wahat Al Khargah, New Valley Governorate, Egypt","31.92272879999996","26.1837366","","None","None","None","97","25","","28.35","no","very rough & heavily encrusted light green","1.5","Width shows ""25mm, 22mm, 16mm"". Thickness shows ""1½mm to 2mm"".","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18338515162","https://farm1.staticflickr.com/427/18338515162_f8835532d3_m.jpg"
"40146","433","Chisels","","Musee Miln, Carnac","France,Brittany,Ile-et-Vilaine","Ille-et-Vilaine, France","-1.5300694999999678","48.2292016","","None","None","None","65","blade 35 (approx.)","","","","Surface of this + those mentioned below: covered with what looks like dusty rust.","5 (approx)","","","This and part of a socketed knife are from a hoard of 7 from Ile-et-Vilaine (site unknown), all in Carnac Museum. The others are 1 socketed celt with vestigal wings, another similar, but without signs of wings, + 3 fragments of Class V spearheads.","","","Mr. Le Ronzic thinks this is a broken piece of sword, re-ground for use as a chisel - I was not altogether convinced that it had belonged to a sword (L.F. Chitty)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17719887094","https://farm1.staticflickr.com/347/17719887094_386cf127f3_m.jpg"
"40146","658","Chisils","","Music Miln., Camac.","France,, Brittany,, Ile-et-Vilaine","",,,"","None","None","None","65","blade (approx.) 35","","","","Surface of this & those mentioned below, covered with what looks like dusty rust.","5 (approx.)","","","This & part of a socketed knife are from a hoard of 7 from Ile-et-Vilaine (site unknown), all in,Carmac Museum. The others are: 1 Socketed Celt with vestigial wings, another similar, but without sign,of wings & 3 fragments of Class V Spearheads.","","","M. Le Rouzic thinks this is a broken piece of sword, re-ground for use as a chisel. I was not altogether,convinced that it had belonged to a sword. (L.F. Chitty)","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/17719887094","https://farm1.staticflickr.com/347/17719887094_386cf127f3_m.jpg"
"40146","817","Chisels","","Music Miln.,Carnac","France,Brittany,Ile-et-Vilaine","Ille-et-Vilaine, France","-1.5300694999999678","48.2292016","","None","None","None","65","35","","","","of this & those mentioned below, covered with what looks like dusty rust.","5","Width shows ""blade (approx) 35"". Thickness shows ""5 (approx)"".","","This & part of a socketed knife, are from a hoard of 7 from Ile-et-Vilaine (site unknown), all in Carnac Museum. The others are, 1 Socketed Celt with vestigial wings, another similar, but without signs of wings, & 3 fragments for Class V Spearheads.","","","M. Le Rouzic thinks this is a broken piece of sword, re-ground for use as a chisel -- I was not altogether convinced that it had belonged to a sword. (L.F. Chitty).","JP OConnor","https://www.flickr.com/photos/115096994@N02/17719887094","https://farm1.staticflickr.com/347/17719887094_386cf127f3_m.jpg"
"40147","433","Chisel","","Private Collection,1926,The Lord Braybrooke,Audley End, Saffron Walden","France,Pas de Calais,Bologne sur Mer","Boulogne-sur-Mer, France","1.613334000000009","50.725231","","None","None","None","176","middle 13; tang 8","28","82","Dark green","","11.5 middle","","","","Edge worn and broken.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18156312369","https://farm1.staticflickr.com/521/18156312369_762dd4d982_m.jpg"
"40147","658","Chisel","","Private Collection   1926,, , The Lord Braybrasta,, , Audley End, Saffron Walden.","France,, Pas de Calais,, Bologne sur Mere,","bologne sur mer, France",,,"","None","None","None","176","edge 28, middle 13, tang 8","","82","dark green.","","11.5 middle","","","","Edge worn & broken.","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18156312369","https://farm1.staticflickr.com/521/18156312369_762dd4d982_m.jpg"
"40147","817","","","Private,1926.,The Lord Braybrooke,Audley End. Saffron Walden.","France,Pas de Calais,Bologne sur Mere","Boulogne-sur-Mer, France","1.613334000000009","50.725231","","None","None","None","176","13","28","82","dark green.","","11.5","Width shows ""edge 28.  middle 13.  tang 8."" Thickness ""11.5 middle"".","","","Edge worn & broken.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18156312369","https://farm1.staticflickr.com/521/18156312369_762dd4d982_m.jpg"
"40148","433","Chisel","","John Holmes Collection, City Art Gallery, Leeds,Cat. No. 227","France,Brittany,Karnac","Carnac, France","-3.07778600000006","47.58469299999999","","None","None","None","106","","36","49","","","13.5","","","","Blade, below collar is cylindrical in section, expanding into broad fan-shaped cutting edge.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17719887014","https://farm8.staticflickr.com/7741/17719887014_dc498b69df_m.jpg"
"40148","658","Chisel","","John Holmes, City Art Gallery, Leeds,, , Collection Cat. No. 227","France,, Brittany,, Karnac","",,,"","None","None","None","106","36 (edge)","","49.9","","","13.5","","","","Blade below collar is cylindrical in,section, expanding into broad fan-shaped,cutting edge.","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/17719887014","https://farm8.staticflickr.com/7741/17719887014_dc498b69df_m.jpg"
"40148","817","Chisel","","John Holmes City Art Gallery, Leeds,Collection,Cat. No. 227.","France,Brittany,Karnac","Carnac, France","-3.07778600000006","47.58469299999999","","None","None","None","106","36","","49","","","13.5","Width shows ""36mm (edge)"".","","","Blade below collar is cylindrical in section, expanding into broad fan-shaped cutting edge","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17719887014","https://farm8.staticflickr.com/7741/17719887014_dc498b69df_m.jpg"
